id,conversation_id,tweet_id,text,candidate_intent_hint,risk_hint,difficulty_hint,conversation_length,conversation_context,length_bucket,intent_hints,gold_intent,gold_risk,gold_action,annotation_notes
golden_candidate_0001,apple_069232,2555271,"@AppleSupport When trying to install free apps on an iPhone 6s I had to finish the setup of an existing Apple ID, forcing me to choose a payment method! A PayPal login didn't allow me to progress.

Updating to iOS 11 finally offered a 'None' payment option when trying to continue the process..",app_store | apple_id_account | billing_payments | setup_activation | software_update,high,likely_multi_intent,4,"[customer] HOLYFUCKINGSHIT! Not enough hoops or amount of personal details satisfy the creation/completion of an existing @AppleSupport ID to allow my mom to install free apps on her passed down iPhone. I can only provide the information I have &amp; it still won't let me log in. No apps then! https://t.co/BjY0m3bvdz | [AppleSupport] @725606 Thanks for reaching out. We want to be sure you can create an Apple ID without any issues. We're happy to help. Can you tell us what's happening specifically? | [customer] @AppleSupport When trying to install free apps on an iPhone 6s I had to finish the setup of an existing Apple ID, forcing me to choose a payment method! A PayPal login didn't allow me to progress. Updating to iOS 11 finally offered a 'None' payment option when trying to continue the process.. | [AppleSupport] @725606 We're glad that it worked out for you. Please message us back if you've any further questions.",medium_3_to_4,"['app_store', 'apple_id_account', 'billing_payments', 'setup_activation', 'software_update']",app_store,high,ESCALATE,"Multi-intent case involving Apple ID setup, payment method, iOS update, and App Store installation. The primary actionable outcome is installing free apps through the App Store; payment-method handling is the main blocker."
golden_candidate_0002,apple_076594,146638,@AppleSupport I updated my Apple ID to an iCloud address and PayPal is no longer available as a payment option in the iTunes &amp; App Store settings. Is this connected? I’m in the UK.,app_store | apple_id_account | billing_payments | icloud | software_update | subscriptions_media,high,likely_multi_intent,5,"[customer] @AppleSupport I updated my Apple ID to an iCloud address and PayPal is no longer available as a payment option in the iTunes &amp; App Store settings. Is this connected? I’m in the UK. | [AppleSupport] @149286 Let's get to the bottom of this together. Are you part of a Family Sharing group? Did you make any other changes to your Apple ID? | [customer] @AppleSupport I’m the owner of a family sharing group. No other changes to my Apple ID. I had PayPal set previously, then made a purchase in the iTunes Store (iOS) and it asked me to re-enter my PayPal password, but there was no option to. Card was only option available. | [AppleSupport] @149286 Good to know. With Family Sharing accounts, you'll need to us a credit or debit card. For more about what payment methods you can use, check this out: https://t.co/QlgvVVFJem | [customer] @AppleSupport This wasn’t the case 4 hours ago though. I was using PayPal with the same Family Sharing Account quite happily until this morning...",long_5_or_more,"['app_store', 'apple_id_account', 'billing_payments', 'icloud', 'software_update', 'subscriptions_media']",billing_payments,high,ESCALATE,"Although Apple ID, iCloud, iTunes, and Family Sharing are mentioned, the customer's primary concern is the loss of PayPal as a payment method."
golden_candidate_0003,apple_078325,2270014,"Hey @AppleSupport, what’s the plan for addressing the battery issues in iOS 11.2? My 7 goes from 100% to dead in a few hours and is constantly hot. Did full factory reset and new install from backup. No improvement. MacBook Pro, 7, 5s, 4s, 3g owner. Not too pleased.",app_store | apple_id_account | battery_power | icloud | software_update,high,likely_multi_intent,3,"[customer] Hey @AppleSupport, what’s the plan for addressing the battery issues in iOS 11.2? My 7 goes from 100% to dead in a few hours and is constantly hot. Did full factory reset and new install from backup. No improvement. MacBook Pro, 7, 5s, 4s, 3g owner. Not too pleased. | [AppleSupport] @660538 We'd like to look into this with you and see what's going on with your battery. Meet us in DM with more details, such as which exact version of iOS you're using and which country you're in, and we'll go from there. https://t.co/GDrqU22YpT | [customer] @AppleSupport DM sent.",medium_3_to_4,"['app_store', 'apple_id_account', 'battery_power', 'icloud', 'software_update']",battery_power,medium,ESCALATE,"The message mentions iOS 11.2, but the primary actionable problem is severe battery drain and overheating despite reset/reinstallation."
golden_candidate_0004,apple_082394,94786,@AppleSupport my app store isn't allowing me to search for new apps on my ipad 2. I just did a reset and reconnected to wifi and my icloud account.,app_store | apple_id_account | connectivity | icloud,high,likely_multi_intent,6,"[customer] @AppleSupport my app store isn't allowing me to search for new apps on my ipad 2. I just did a reset and reconnected to wifi and my icloud account. | [AppleSupport] @136593 Thanks for bringing this behavior to our attention. Let’s team up to get this addressed so you can get back to searching the App Store. How long has this been happening? Are you able to browse the App Store via the other tabs at the bottom of the screen? | [customer] @AppleSupport I actually lost the power cord so I finally charged my ipad yesterday and am using it today for the first time in a few months. Since turning it on this morning, I haven't been able to update any apps or navigate the app store at all. I checked and my icloud account is linked | [AppleSupport] @136593 We appreciate you keeping us updated. If you check under Settings &gt; General &gt; Software Update, do you have any updates available? If so, let’s make a backup before you update: https://t.co/4f8hwT5to6 If there isn’t an update available, just let us know. | [customer] @AppleSupport My ipad is on some version of ios 9 but says there are no updates available. | [AppleSupport] @136593 Got it. Could you let us know the exact version number of iOS 9 you’re currently using via a DM? Also, let us know if you are able to search in the iTunes Store. We’ll keep moving forward from there. https://t.co/GDrqU22YpT",long_5_or_more,"['app_store', 'apple_id_account', 'connectivity', 'icloud']",app_store,medium,ESCALATE,"Primary problem is inability to search, navigate, and update apps in the App Store. Wi-Fi, iCloud, reset, and iOS version are contextual troubleshooting details."
golden_candidate_0005,apple_076775,151464,@AppleSupport airplay will not connect my iPhone 6 to my @8595 avr x2400h. it worked fine before iOS 11. factory reset both phone and avr.  latest updates installed on all devices . still wont worked. my HP laptop with iTunes airplay working 100% to same avr. please help,app_store | apple_id_account | connectivity | software_update | subscriptions_media,high,likely_multi_intent,4,"[customer] @AppleSupport airplay will not connect my iPhone 6 to my @8595 avr x2400h. it worked fine before iOS 11. factory reset both phone and avr. latest updates installed on all devices . still wont worked. my HP laptop with iTunes airplay working 100% to same avr. please help | [AppleSupport] @150589 Thanks for reaching out. We want to help. What is the exact version number on this iPhone 6? Go to Settings &gt; General &gt; About to get that information. Also, does your iPhone 6 connect to any other device? | [customer] @AppleSupport connects to other devices incl apple tv non 4k. version 11.1.2 (15B202) model MG472AA/A | [AppleSupport] @150589 Let's dig a little deeper. Send us a DM letting us know which country you are located in. https://t.co/GDrqU22YpT",medium_3_to_4,"['app_store', 'apple_id_account', 'connectivity', 'software_update', 'subscriptions_media']",connectivity,medium,ESCALATE,Primary issue is AirPlay connection failure between the iPhone and AVR. The iOS update is historical context; the customer is seeking troubleshooting for the connection.
golden_candidate_0006,apple_072715,2734077,"@AppleSupport Hello! How to change my personal name associated with my apple ID? on the community FAQ sections, it always direct me to how to change apple ID name instead.",apple_id_account,high,specific_candidate,2,"[customer] @AppleSupport Hello! How to change my personal name associated with my apple ID? on the community FAQ sections, it always direct me to how to change apple ID name instead. | [AppleSupport] @766308 Once you log in to your Apple ID, you'll need to choose the word edit next to your account information. This will show you the fields to change your name. For reference, here is the link: https://t.co/ggVDoc1mU7",short_2_or_fewer,['apple_id_account'],apple_id_account,high,AUTO_HANDLE,Customer asking for self-service instructions to change the personal name associated with their Apple ID; appropriate for automated guidance.
golden_candidate_0007,apple_073113,2747373,"welp, @115858 iPhone 7 has officially screwed me over. trying to do factory reset and it won't let me get thru to end. every time i try getting to finish the factory reset, it will power itself down and restart mode. i just need a new iPhone, this one obvi doesn't work. plz help",apple_id_account | battery_power | setup_activation,high,likely_multi_intent,3,"[customer] welp, @115858 iPhone 7 has officially screwed me over. trying to do factory reset and it won't let me get thru to end. every time i try getting to finish the factory reset, it will power itself down and restart mode. i just need a new iPhone, this one obvi doesn't work. plz help | [AppleSupport] @769302 Thanks for reaching out about your iPhone 7. We'll help get to the bottom of what you're encountering. Are you receiving any type of error message in iTunes when this happens? Can you tell us which step the restore is one when it happens? | [customer] @AppleSupport It stays on the activating screen (it's after the English, United States screens). It loads for a bit then turns off and does nothing. There's no way for me to fix it, so my dad is going up to the Indianapolis store on Wednesday. No error message, just silliness.",medium_3_to_4,"['apple_id_account', 'battery_power', 'setup_activation']",repair_service,high,ESCALATE,Device repeatedly powers down and fails during factory reset/activation loop; customer explicitly requests replacement/store service assistance.
golden_candidate_0008,apple_066122,2417393,@AppleSupport I was able to login on another device and I can’t find my pictures. My last back up was through iCloud on my phone at 1:03am this morning,apple_id_account | icloud,high,likely_multi_intent,8,"[customer] To add to the shittiness of the after affects of updating my phone to iOS 11.1, now all my pictures have disappeared!!! @115858 wtf is going on???? | [AppleSupport] @694693 We'd like to help you find your photos! Do you use iCloud Photo Library? Are you connected to Wi-FI? | [customer] @AppleSupport Yes and yes | [AppleSupport] @694693 If you go to https://t.co/tmRhWEkIq4 on a computer and sign in with your Apple ID, do you see your photos there? Also, do you have a recent backup of your iPhone? | [customer] @AppleSupport My most recent back up was at 1:03 am | [AppleSupport] @694693 Were you able to log in to https://t.co/tmRhWEkIq4 on another device? Are we correct in assuming that your most recent backup was through iCloud? | [customer] @AppleSupport I was able to login on another device and I can’t find my pictures. My last back up was through iCloud on my phone at 1:03am this morning | [AppleSupport] @694693 We’ve got an awesome team of experts who can help further with Photos and iCloud Photo Library. We have a team of Photos specialists who can help. Use the following link to select Apps &amp; Software &gt; iOS Apps &gt; Photos for iOS: https://t.co/IBIY3vMgPj",long_5_or_more,"['apple_id_account', 'icloud']",icloud,high,ESCALATE,Missing photos after iOS update despite recent iCloud backup; data recovery and sync investigation require escalation to human specialists.
golden_candidate_0009,apple_015261,1040203,"@AppleSupport @115858 literally worst customer service I have ever seen.ur advisors wasted my 2 hrs transferring chat to 1 another,hanging up",repair_service,high,specific_candidate,2,"[customer] @AppleSupport @115858 literally worst customer service I have ever seen.ur advisors wasted my 2 hrs transferring chat to 1 another,hanging up | [AppleSupport] @366099 We want to hear about your experience, and make sure you get the help you're looking for. Let's work together in DM. https://t.co/GDrqU22YpT",short_2_or_fewer,['repair_service'],other_unclear,high,ESCALATE,Generic customer service grievance and complaint about previous advisor interactions with no specific actionable technical issue identified.
golden_candidate_0010,apple_043127,1579119,@AppleSupport Will Apple reject to fix my iPhone under warranty if it has minor dents on it? https://t.co/icS6yynki7,repair_service,high,specific_candidate,4,"[customer] @AppleSupport Will Apple reject to fix my iPhone under warranty if it has minor dents on it? https://t.co/icS6yynki7 | [AppleSupport] @486276 We'd like to help! To make sure we provide accurate information, could you tell us which country you're located in? | [customer] @AppleSupport India | [AppleSupport] @486276 Thanks. Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT",medium_3_to_4,['repair_service'],repair_service,high,ESCALATE,Customer inquiring about repair eligibility and warranty policy for cosmetic damage (minor dents); requires human policy evaluation.
